SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-6-2021,Single Family Residential,5136 Sinclair Way,Bremerton,WA,98312,438221,5,3,West Hills,2443,4145,2021,100,179,,Sold,,,http://www.redfin.com/WA/Bremerton/5136-Sinclair-Way-98312/home/173147209,NWMLS,1662213,N,Y,47.5489166,-122.6852647
PAST SALE,October-12-2021,Single Family Residential,5165 Granger St,Bremerton,WA,98312,517850,5,3,West Hills,2443,3799,2021,2,212,,Sold,,,http://www.redfin.com/WA/Bremerton/5165-Granger-ST-98312/home/174464891,NWMLS,1732362,N,Y,47.547995,-122.684258
PAST SALE,September-7-2021,Single Family Residential,5160 Sinclair Way,Bremerton,WA,98312,520649,5,3,West Hills,2443,3600,2021,37,213,,Sold,,,http://www.redfin.com/WA/Bremerton/5160-Sinclair-Way-98312/home/173143588,NWMLS,1661868,N,Y,47.5489166,-122.6852647
PAST SALE,December-4-2020,Single Family Residential,3632 W G St,Bremerton,WA,98312,379000,4,2,Navy Yard City,2400,6100,1916,314,158,,Sold,,,http://www.redfin.com/WA/Bremerton/3632-W-G-St-98312/home/2411457,NWMLS,1659239,N,Y,47.5558039,-122.6642014
PAST SALE,September-16-2021,Single Family Residential,1641 Sound Ridge Dr,Bremerton,WA,98312,535000,3,2.5,West Hills,2398,5663,2007,28,223,,Sold,,,http://www.redfin.com/WA/Bremerton/1641-Sound-Ridge-Dr-98312/home/12099667,NWMLS,1820396,N,Y,47.5497649,-122.6755822
PAST SALE,September-30-2021,Single Family Residential,4104 W F St,Bremerton,WA,98312,415000,3,2,Navy Yard City,2390,10019,1920,14,174,,Sold,,,http://www.redfin.com/WA/Bremerton/4104-W-F-St-98312/home/2397086,NWMLS,1831168,N,Y,47.5548899,-122.668394
PAST SALE,January-6-2021,Single Family Residential,103 S Marion Ave,Bremerton,WA,98312,345000,3,1,West Bremerton,2326,31363,1935,281,148,,Sold,,,http://www.redfin.com/WA/Bremerton/103-S-Marion-Ave-98312/home/2244365,NWMLS,1691785,N,Y,47.5635469,-122.6631114
PAST SALE,September-22-2021,Single Family Residential,7001 Osprey Cir,Bremerton,WA,98312,630000,3,2.5,Kitsap Lake,2322,8712,1994,22,271,13,Sold,,,http://www.redfin.com/WA/Bremerton/7001-Osprey-Cir-98312/home/2466152,NWMLS,1821259,N,Y,47.5677256,-122.6957394
PAST SALE,September-3-2021,Single Family Residential,4124 W D St,Bremerton,WA,98312,452500,5,2,Navy Yard City,2320,6098,1957,41,195,,Sold,,,http://www.redfin.com/WA/Bremerton/4124-W-D-St-98312/home/2397178,NWMLS,1809669,N,Y,47.553557,-122.6692118
PAST SALE,January-22-2021,Single Family Residential,908 Baker Heights (Homesite 194) Loop,Bremerton,WA,98312,502950,4,2.5,West Bremerton,2311,5622,2020,265,218,50,Sold,,,http://www.redfin.com/WA/Bremerton/908-Baker-Heights-Loop-98312/home/173440648,NWMLS,1678940,N,Y,47.5560026,-122.6969595
PAST SALE,March-5-2021,Single Family Residential,916 Baker Heights (Homesite 196) Loop,Bremerton,WA,98312,524950,4,2.5,West Bremerton,2311,5450,2020,223,227,50,Sold,,,http://www.redfin.com/WA/Bremerton/916-Baker-Heights-Loop-98312/home/173876681,NWMLS,1695581,N,Y,47.5557279,-122.6969529
PAST SALE,September-1-2021,Single Family Residential,944 Baker Heights (Homesite 203) Loop,Bremerton,WA,98312,578950,4,2.5,West Bremerton,2311,5450,2021,43,251,50,Sold,,,http://www.redfin.com/WA/Bremerton/944-Baker-Heights-Loop-98312/home/176505630,NWMLS,1844536,N,Y,47.5547668,-122.6969511
PAST SALE,April-15-2021,Single Family Residential,932 Baker Heights (Homesite 200) Loop,Bremerton,WA,98312,524950,4,2.5,West Bremerton,2311,5450,2021,182,227,50,Sold,,,http://www.redfin.com/WA/Bremerton/932-Baker-Heights-Loop-98312/home/174104970,NWMLS,1713361,N,Y,47.5551787,-122.6969518
PAST SALE,July-14-2021,Single Family Residential,1026 Timberline (Homesite 173) Ave,Bremerton,WA,98312,555450,4,2.5,West Bremerton,2311,5450,2021,92,240,50,Sold,,,http://www.redfin.com/WA/Bremerton/1026-Timberline-Ave-98312/home/174558467,NWMLS,1735443,N,Y,47.5532971,-122.6980228
PAST SALE,July-12-2021,Single Family Residential,1018 Timberline (Homesite 171) Ave,Bremerton,WA,98312,544950,4,2.5,West Bremerton,2311,5450,2021,94,236,50,Sold,,,http://www.redfin.com/WA/Bremerton/1018-Timberline-Ave-98312/home/174338306,NWMLS,1734799,N,Y,47.5535718,-122.6980356
PAST SALE,July-19-2021,Single Family Residential,1034 Timberline (Homesite 175) Ave,Bremerton,WA,98312,574950,4,2.5,West Bremerton,2311,5450,2021,87,249,50,Sold,,,http://www.redfin.com/WA/Bremerton/1034-Timberline-Ave-98312/home/174641462,NWMLS,1739142,N,Y,47.5530227,-122.6980066
PAST SALE,September-9-2021,Single Family Residential,952 Baker Heights (Homesite 205) Loop,Bremerton,WA,98312,589950,4,2.5,West Bremerton,2311,5450,2021,35,255,50,Sold,,,http://www.redfin.com/WA/Bremerton/952-Baker-Heights-Loop-98312/home/175088747,NWMLS,1769621,N,Y,47.5544923,-122.6969504
PAST SALE,October-13-2021,Single Family Residential,1483 Baker Heights Loop,Bremerton,WA,98312,615000,4,2.5,West Bremerton,2311,5227,2020,1,266,50,Sold,,,http://www.redfin.com/WA/Bremerton/1483-Baker-Heights-Loop-98312/home/172378648,NWMLS,1823040,N,Y,47.5554057,-122.6992511
PAST SALE,November-16-2020,Single Family Residential,1491 Baker Heights (Homesite 55) Loop,Bremerton,WA,98312,486950,4,2.5,West Bremerton,2311,5025,2020,332,211,50,Sold,,,http://www.redfin.com/WA/Bremerton/1491-Baker-Heights-Loop-98312/home/172680290,NWMLS,1643789,N,Y,47.5556858,-122.6993141
PAST SALE,December-21-2020,Single Family Residential,1507 Baker Heights (Homesite 51) Loop,Bremerton,WA,98312,494950,4,2.5,West Bremerton,2311,5025,2020,297,214,50,Sold,,,http://www.redfin.com/WA/Bremerton/1507-Baker-Heights-Loop-98312/home/173372410,NWMLS,1674495,N,Y,47.5561927,-122.6991327
PAST SALE,December-9-2020,Single Family Residential,1499 Baker Heights (Homesite 53) Loop,Bremerton,WA,98312,489950,4,2.5,West Bremerton,2311,4936,2020,309,212,50,Sold,,,http://www.redfin.com/WA/Bremerton/1499-Baker-Heights-Loop-98312/home/173289202,NWMLS,1669184,N,Y,47.5559179,-122.6991416
PAST SALE,February-11-2021,Single Family Residential,903 Baker Heights (Homesite 192) Loop,Bremerton,WA,98312,474950,4,2.5,West Bremerton,2311,4436,2020,245,206,50,Sold,,,http://www.redfin.com/WA/Bremerton/903-Baker-Heights-Loop-98312/home/173440603,NWMLS,1678930,N,Y,47.5561112,-122.6976771
PAST SALE,April-23-2021,Single Family Residential,5124 Sinclair Way,Bremerton,WA,98312,421713,4,3,West Hills,2298,4179,2021,174,184,,Sold,,,http://www.redfin.com/WA/Bremerton/5124-Sinclair-Way-98312/home/173147205,NWMLS,1662267,N,Y,47.5489166,-122.6852647
PAST SALE,May-14-2021,Single Family Residential,5172 Sinclair Way,Bremerton,WA,98312,425289,4,3,West Hills,2298,4121,2021,153,185,,Sold,,,http://www.redfin.com/WA/Bremerton/5172-Sinclair-Way-98312/home/173143534,NWMLS,1661831,N,Y,47.5489166,-122.6852647
PAST SALE,August-26-2021,Single Family Residential,5137 Granger St,Bremerton,WA,98312,430000,4,3,West Hills,2298,3802,2021,49,187,38,Sold,,,http://www.redfin.com/WA/Bremerton/5137-Granger-ST-98312/home/174396826,NWMLS,1710742,N,Y,47.548314,-122.684277
PAST SALE,April-30-2021,Single Family Residential,5190 Sophie St,Bremerton,WA,98312,419449,4,3,West Hills,2298,3791,2021,167,183,,Sold,,,http://www.redfin.com/WA/BREMERTON/5190-SOPHIE-ST-98312/home/173143425,NWMLS,1661816,N,Y,47.548314,-122.684277
PAST SALE,May-12-2021,Single Family Residential,5144 Sinclair Way,Bremerton,WA,98312,427565,4,3,West Hills,2298,3600,2021,155,186,,Sold,,,http://www.redfin.com/WA/Bremerton/5144-Sinclair-Way-98312/home/173147213,NWMLS,1662181,N,Y,47.5489166,-122.6852647
PAST SALE,December-4-2020,Single Family Residential,1163 Daniels Ave,Bremerton,WA,98312,451010,3,2.5,Bremerton,2290,4792,1999,314,197,,Sold,,,http://www.redfin.com/WA/Bremerton/1163-Daniels-Ave-98312/home/2403486,NWMLS,1684364,N,Y,47.5536759,-122.6755509
PAST SALE,December-7-2020,Single Family Residential,1895 Hardway Ln,Bremerton,WA,98312,420000,3,2.5,West Hills,2252,4356,2020,311,187,,Sold,,,http://www.redfin.com/WA/Bremerton/1895-Hardway-Ln-98312/home/168708332,NWMLS,1677526,N,Y,47.5486283,-122.6769779
PAST SALE,November-23-2020,Single Family Residential,1923 Hardway Ln,Bremerton,WA,98312,424950,3,2.5,West Hills,2252,4356,2020,325,189,,Sold,,,http://www.redfin.com/WA/Bremerton/1923-Hardway-Ln-98312/home/168708333,NWMLS,1679080,N,Y,47.548449,-122.676974
PAST SALE,November-13-2020,Single Family Residential,1881 Hardway Ln,Bremerton,WA,98312,413000,3,2.5,West Hills,2252,3485,2020,335,183,,Sold,,,http://www.redfin.com/WA/Bremerton/1881-Hardway-Ln-98312/unit-IN/home/168708328,NWMLS,1661946,N,Y,47.5486344,-122.6774503
PAST SALE,November-19-2020,Single Family Residential,1927 Hardway Ln,Bremerton,WA,98312,412950,3,2.5,West Hills,2252,3049,2020,329,183,,Sold,,,http://www.redfin.com/WA/Bremerton/1927-Hardway-Ln-98312/home/168708334,NWMLS,1661939,N,Y,47.548442,-122.677227
PAST SALE,November-25-2020,Single Family Residential,1885 Hardway Ln,Bremerton,WA,98312,415950,3,2.5,West Hills,2252,3049,2020,323,185,,Sold,,,http://www.redfin.com/WA/Bremerton/1885-Hardway-Ln-98312/home/168708329,NWMLS,1682199,N,Y,47.5486282,-122.677257
PAST SALE,November-20-2020,Single Family Residential,339 Dora Ave,Bremerton,WA,98312,353000,3,1.5,Bremerton,2249,5227,1941,328,157,,Sold,,,http://www.redfin.com/WA/Bremerton/339-Dora-Ave-98312/home/2217268,NWMLS,1678775,N,Y,47.566901,-122.666502
PAST SALE,November-6-2020,Single Family Residential,315 S Lafayette,Bremerton,WA,98312,335000,4,2,Charleston,2200,10454,1906,342,152,,Sold,,,http://www.redfin.com/WA/Bremerton/315-S-Lafayette-Ave-98312/home/2313416,NWMLS,1617427,N,Y,47.5595513,-122.6568816
